x;y;longitude;visit_date;transparen;latitude;fid;station_vi;color_id;
23.9833;57.1;23.9833;1998/02/14 12:30:00.000;1.6;57.1;1;98006;19;
23.85;57.3;23.85;1998/02/14 15:35:00.000;4;57.3;2;98007;9;
23.85;57.3;23.85;1998/03/11 12:20:00.000;2.5;57.3;3;98011;16;
23.9333;57.1667;23.9333;1998/03/11 15:22:00.000;1.6;57.1667;4;98012;19;
23.9833;57.1;23.9833;1998/03/11 16:15:00.000;1.2;57.1;5;98013;19;
24.0017;57.0833;24.0017;1998/03/11 17:15:00.000;1.1;57.0833;6;98014;21;
23.6167;57.6167;23.6167;1998/03/25 06:30:00.000;3.9;57.6167;7;98019;9;
23.7667;57.4167;23.7667;1998/03/25 08:30:00.000;3.6;57.4167;8;98020;9;
23.85;57.3;23.85;1998/03/25 09:20:00.000;2.1;57.3;9;98021;15;
23.9333;57.1667;23.9333;1998/03/25 12:15:00.000;2.1;57.1667;10;98022;19;
23.9833;57.1;23.9833;1998/03/25 13:25:00.000;1.6;57.1;11;98023;21;
24.0017;57.0833;24.0017;1998/03/25 14:05:00.000;1.5;57.0833;12;98024;21;
23.85;57.3;23.85;1998/04/07 11:30:00.000;2.4;57.3;13;98026;17;
24.0017;57.0833;24.0017;1998/04/07 14:20:00.000;1.4;57.0833;14;98027;19;
24.0017;57.0833;24.0017;1998/04/23 11:10:00.000;1.1;57.0833;15;98030;21;
23.9833;57.1;23.9833;1998/04/23 12:30:00.000;1.5;57.1;16;98031;19;
23.9333;57.1667;23.9333;1998/04/23 13:45:00.000;1.9;57.1667;17;98032;13;
23.85;57.3;23.85;1998/04/23 15:15:00.000;2.1;57.3;18;98033;11;
23.7667;57.4167;23.7667;1998/04/23 17:10:00.000;2.2;57.4167;19;98034;9;
23.4833;57.4;23.4833;1998/04/23 18:55:00.000;2.1;57.4;20;98035;9;
23.2123;57.3275;23.2123;1998/04/23 20:35:00.000;2.9;57.3275;21;98036;9;
23.6167;57.6167;23.6167;1998/04/24 06:40:00.000;2.6;57.6167;22;98038;9;
24.1167;57.6;24.1167;1998/04/24 10:20:00.000;2.4;57.6;23;98039;11;
24.3367;57.5933;24.3367;1998/04/24 11:25:00.000;2.9;57.5933;24;98040;13;
24.0833;57.35;24.0833;1998/04/24 13:50:00.000;2;57.35;25;98041;21;
24.3733;57.315;24.3733;1998/04/24 15:40:00.000;1.8;57.315;26;98042;21;
24.0017;57.0833;24.0017;1998/02/14 11:20:00.000;1.3;57.0833;27;98005;21;
24.0017;57.0833;24.0017;1998/01/21 14:40:00.000;1.8;57.0833;28;98002;21;
23.85;57.3;23.85;1998/01/21 11:40:00.000;4.1;57.3;29;98001;9;
